Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Index,International Securities Identification Number
BLS,BLS INTL SERVS LTD,397.4,INR,9.900442477876092,10716238,3.317048809586343,163317027757,INR,36.036199423275725,11.0278,INR,50.48853711790391,0.252111433253498,Technology services,Strong buy,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE153T01027
BLUEDART,BLUE DART EXPRESS LTD,5897.65,INR,-0.0025433212384371406,16686,1.2708011241174992,139832271249,INR,50.87768788680293,115.9182,INR,-6.0204744288539125,0.42422134172726,Transportation,Buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE233B01017
BLUEJET,BLUE JET HEALTHCARE LTD,906.95,INR,-2.030785849311364,547808,1.304940765177695,157142331460,INR,67.01419419670896,13.5337,INR,,0.110387459984546,Health technology,Buy,"Nifty MicroCap 250, Nifty Total Market",INE0KBH01020
BLUESTARCO,BLUE STAR LTD,2152.7,INR,-2.5332216512349297,3002387,2.938798166903982,440714692109,INR,79.30403132816845,27.1449,INR,10.553645901212045,0.326583932070542,Producer manufacturing,Buy,"Nifty 500, Nifty Consumer Durables, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE472A01039
BOMDYEING,BOMBAY DYEING & MFG. CO L,138.88,INR,3.6185928523464854,1728329,1.4517843972965663,28687695912,INR,5.262260483409556,26.3917,INR,-79.32229444284263,0.863930885529158,Process industries,,"Nifty MicroCap 250, Nifty Total Market",INE032A01023
BOROLTD,BOROSIL LTD,343.6,INR,1.3121037888839882,134041,0.582698538352224,41033815573,INR,59.6797165387154,5.7574,INR,-27.453031085797814,0,Producer manufacturing,Buy,"Nifty MicroCap 250, Nifty Total Market",INE02PY01013
BORORENEW,BOROSIL RENEWABLES LTD,507.35,INR,-2.6293062086172023,164985,1.7683260789645454,66217096512,INR,,-7.4717,INR,-964.8801944669522,0,Process industries,,"Nifty MicroCap 250, Nifty Total Market",INE666D01022
BOSCHLTD,BOSCH LTD,27432.25,INR,-0.6936035346267756,76189,3.858061575855783,809324688674,INR,39.94061086796365,686.826,INR,-12.888113913884759,1.36658570405584,Producer manufacturing,Neutral,"Nifty 500, Nifty Next 50, Nifty Auto, Nifty 200, Nifty MNC, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty India Manufacturing, Nifty LargeMidCap 250",INE323A01026
BPCL,BHARAT PETROLEUM CORP LTD,279.66,INR,2.767059861095811,26173451,3.1289508779674198,1213686769409,INR,8.699899207346665,32.1452,INR,-52.042990219188056,5.54066130473637,Energy minerals,Buy,"Nifty 50, Nifty 500, Nifty Infrastructure, Nifty Oil and Gas, Nifty 200, Nifty Energy, Nifty PSE, Nifty Commodities, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty 50 Equal Weight, Nifty LargeMidCap 250",INE029A01011
BRIGADE,BRIGADE ENTER. LTD,963.85,INR,0.6894750587620813,1655532,4.0992902954551855,235845923651,INR,35.57692307692308,27.092,INR,99.49926362297495,0.207232411149104,Finance,Strong buy,"Nifty 500, Nifty Realty, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE791I01019
